schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.2711864406779661,0.17796610169491525,0.15254237288135594,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.5925925925925926,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.37209302325581395,0.2896551724137931,0.2647058823529412,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.2786885245901639,0.1721311475409836,0.12021857923497267,0.10245901639344263,0.08196721311475409,0.06830601092896176,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.68,0.84,0.88,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.3953488372093023,0.2857142857142857,0.21153846153846154,0.18587360594795538,0.1515151515151515,0.1278772378516624,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.24285714285714285,0.15714285714285714,0.10476190476190476,0.08928571428571429,0.07142857142857142,0.06666666666666667,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.6071428571428571,0.7857142857142857,0.7857142857142857,0.8928571428571429,0.8928571428571429,1.0,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.3469387755102041,0.2619047619047619,0.18487394957983194,0.16233766233766236,0.13227513227513227,0.125,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.4186046511627907,0.23255813953488372,0.16279069767441862,0.12209302325581395,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.8571428571428571,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.5625000000000001,0.37383177570093457,0.28,0.21761658031088082,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.21311475409836064,0.13114754098360656,0.12568306010928962,0.09836065573770492,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5416666666666666,0.6666666666666666,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.30588235294117644,0.2191780821917808,0.2222222222222222,0.1791044776119403,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.35714285714285715,0.25,0.18095238095238095,0.1357142857142857,0.11142857142857143,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.6410256410256411,0.8974358974358975,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.45871559633027525,0.3910614525139665,0.30522088353413657,0.238244514106583,0.20051413881748073,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.3023255813953488,0.22093023255813954,0.17829457364341086,0.13953488372093023,0.11162790697674418,0.09689922480620156,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.52,0.76,0.92,0.96,0.96,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.38235294117647056,0.3423423423423424,0.2987012987012987,0.24365482233502536,0.19999999999999998,0.17667844522968199,0.15337423312883436,0.13550135501355015,,,,,,,,
oc_mysql__tpch_sf1,precision,0.3389830508474576,0.2033898305084746,0.15254237288135594,0.11864406779661017,0.09830508474576272,0.0847457627118644,0.07263922518159806,0.0635593220338983,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6666666666666666,0.8,0.9,0.9333333333333333,0.9666666666666667,1.0,1.0,1.0,,,,,,,,
