schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.23728813559322035,0.1440677966101695,0.12429378531073447,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.5185185185185185,0.6296296296296297,0.8148148148148148,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.3255813953488372,0.23448275862068968,0.21568627450980393,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.22950819672131148,0.13934426229508196,0.13114754098360656,0.10245901639344263,0.08196721311475409,0.06830601092896176,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.56,0.68,0.96,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.32558139534883723,0.23129251700680273,0.23076923076923078,0.18587360594795538,0.1515151515151515,0.1278772378516624,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.2857142857142857,0.15,0.12380952380952381,0.1,0.08,0.06666666666666667,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.7142857142857143,0.75,0.9285714285714286,1.0,1.0,1.0,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.40816326530612246,0.24999999999999997,0.21848739495798322,0.18181818181818182,0.14814814814814814,0.125,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.3488372093023256,0.22093023255813954,0.16279069767441862,0.12209302325581395,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.7142857142857143,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.46875,0.35514018691588783,0.28,0.21761658031088082,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.18032786885245902,0.13114754098360656,0.11475409836065574,0.09836065573770492,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.4583333333333333,0.6666666666666666,0.875,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.2588235294117647,0.2191780821917808,0.20289855072463767,0.1791044776119403,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.34285714285714286,0.21428571428571427,0.1761904761904762,0.13214285714285715,0.10857142857142857,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.6153846153846154,0.7692307692307693,0.9487179487179487,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.4403669724770642,0.33519553072625696,0.29718875502008035,0.23197492163009406,0.1953727506426735,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.37209302325581395,0.26744186046511625,0.18604651162790697,0.13953488372093023,0.11162790697674418,0.09302325581395349,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.64,0.92,0.96,0.96,0.96,0.96,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.4705882352941177,0.4144144144144144,0.31168831168831174,0.24365482233502536,0.19999999999999998,0.1696113074204947,0.15337423312883436,0.13550135501355015,,,,,,,,
oc_mysql__tpch_sf1,precision,0.3559322033898305,0.22033898305084745,0.15254237288135594,0.11864406779661017,0.09830508474576272,0.08192090395480225,0.07021791767554479,0.0635593220338983,,,,,,,,
oc_mysql__tpch_sf1,recall,0.7,0.8666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,,,,,,,,
oc_mysql__tpch_sf1,f1,0.4719101123595506,0.3513513513513513,0.2608695652173913,0.2105263157894737,0.17846153846153845,0.15104166666666669,0.1309255079006772,0.1195219123505976,,,,,,,,
sakila__tpch_sf1,precision,0.18571428571428572,0.17857142857142858,0.14285714285714285,0.12142857142857143,0.09714285714285714,0.08095238095238096,0.06938775510204082,0.060714285714285714,,,,,,,,
sakila__tpch_sf1,recall,0.38235294117647056,0.7352941176470589,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,f1,0.25,0.28735632183908044,0.24590163934426232,0.21656050955414013,0.17708333333333331,0.1497797356828194,0.1297709923664122,0.11447811447811447,,,,,,,,
oc_oracle__sakila,precision,0.27906976744186046,0.13953488372093023,0.13178294573643412,0.09883720930232558,0.07906976744186046,0.06976744186046512,0.0664451827242525,0.05813953488372093,0.05167958656330749,0.046511627906976744,0.04439746300211417,0.040697674418604654,0.03756708407871199,0.03488372093023256,0.03255813953488372,0.03255813953488372
oc_oracle__sakila,recall,0.5714285714285714,0.5714285714285714,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0
oc_oracle__sakila,f1,0.37499999999999994,0.22429906542056074,0.22666666666666668,0.1761658031088083,0.1440677966101695,0.12903225806451613,0.12422360248447206,0.1095890410958904,0.09803921568627451,0.08869179600886919,0.08502024291497975,0.0782122905027933,0.07241379310344828,0.06741573033707865,0.06306306306306306,0.06306306306306306
oc_mysql__sakila,precision,0.3559322033898305,0.2627118644067797,0.192090395480226,0.15677966101694915,0.12542372881355932,0.10451977401129943,0.09443099273607748,0.0826271186440678,0.07344632768361582,0.06610169491525424,0.060092449922958396,0.05508474576271186,0.05084745762711865,0.04721549636803874,0.04406779661016949,0.04406779661016949
oc_mysql__sakila,recall,0.5384615384615384,0.7948717948717948,0.8717948717948718,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,f1,0.42857142857142855,0.39490445859872614,0.3148148148148148,0.2690909090909091,0.22155688622754488,0.188295165394402,0.17256637168141592,0.15264187866927592,0.13684210526315788,0.12400635930047695,0.11337209302325581,0.10441767068273092,0.0967741935483871,0.09017341040462429,0.08441558441558442,0.08441558441558442
tpch_sf1__sakila,precision,0.14754098360655737,0.13114754098360656,0.12021857923497267,0.10655737704918032,0.08524590163934426,0.07103825136612021,0.06323185011709602,0.055327868852459015,0.04918032786885246,0.04426229508196721,0.040238450074515646,0.036885245901639344,0.034047919293820936,0.03161592505854801,0.029508196721311476,0.029508196721311476
tpch_sf1__sakila,recall,0.3333333333333333,0.5925925925925926,0.8148148148148148,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,f1,0.20454545454545456,0.21476510067114096,0.2095238095238095,0.1918819188191882,0.1566265060240964,0.13231552162849872,0.11894273127753303,0.10485436893203884,0.09375,0.0847723704866562,0.07736389684813753,0.07114624505928854,0.06585365853658537,0.06129398410896709,0.057324840764331204,0.057324840764331204
