schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.288135593220339,0.1694915254237288,0.12994350282485875,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.6296296296296297,0.7407407407407407,0.8518518518518519,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.3953488372093023,0.2758620689655172,0.22549019607843135,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.32786885245901637,0.18032786885245902,0.13114754098360656,0.10245901639344263,0.08196721311475409,0.06830601092896176,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.8,0.88,0.96,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.4651162790697675,0.29931972789115646,0.23076923076923078,0.18587360594795538,0.1515151515151515,0.1278772378516624,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.2857142857142857,0.18571428571428572,0.12857142857142856,0.09642857142857143,0.07714285714285714,0.06666666666666667,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.7142857142857143,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.40816326530612246,0.30952380952380953,0.22689075630252095,0.17532467532467533,0.14285714285714285,0.125,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.4186046511627907,0.23255813953488372,0.16279069767441862,0.12209302325581395,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.8571428571428571,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.5625000000000001,0.37383177570093457,0.28,0.21761658031088082,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.19672131147540983,0.13934426229508196,0.12021857923497267,0.09836065573770492,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5,0.7083333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.2823529411764706,0.23287671232876714,0.21256038647342992,0.1791044776119403,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.2571428571428571,0.21428571428571427,0.1761904761904762,0.1357142857142857,0.11142857142857143,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.46153846153846156,0.7692307692307693,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.33027522935779813,0.33519553072625696,0.29718875502008035,0.238244514106583,0.20051413881748073,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.4418604651162791,0.26744186046511625,0.18604651162790697,0.14534883720930233,0.11627906976744186,0.09689922480620156,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.76,0.92,0.96,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.5588235294117647,0.4144144144144144,0.31168831168831174,0.25380710659898476,0.20833333333333334,0.17667844522968199,0.15337423312883436,0.13550135501355015,,,,,,,,
